"filename", "language", "YAML", "Swift", "Dart", "comment", "blank", "total"
"/home/kilian/gymprime-project/gymprime/lib/core/errors/exceptions.dart", "Dart", 0, 0, 6, 0, 2, 8
"/home/kilian/gymprime-project/gymprime/lib/core/errors/failures.dart", "Dart", 0, 0, -13, -1, -6, -20
"/home/kilian/gymprime-project/gymprime/lib/core/resources/data_state.dart", "Dart", 0, 0, -1, 0, -1, -2
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/aliment_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/cached_request_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/diet_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/exercise_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/meal_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/muscle_group_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/muscle_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/program_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/recipe_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/database/training_local_db.dart", "Dart", 0, 0, 3, 0, 0, 3
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/muscle_group_local_datasource.dart", "Dart", 0, 0, 40, 0, 8, 48
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/muscle_local_datasource.dart", "Dart", 0, 0, 36, 0, 8, 44
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/program_local_datasource.dart", "Dart", 0, 0, 36, 0, 8, 44
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/recipe_local_datasource.dart", "Dart", 0, 0, 36, 0, 8, 44
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/local/training_local_datasource.dart", "Dart", 0, 0, 36, 0, 8, 44
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/datasources/remote/diet_remote_datasource.dart", "Dart", 0, 0, 97, -5, 2, 94
"/home/kilian/gymprime-project/gymprime/lib/features/shared/data/repositories/cached_request_repo_impl.dart", "Dart", 0, 0, -1, 0, 0, -1
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/aliment.dart", "Dart", 0, 0, -57, -1, -5, -63
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/aliment_entity.dart", "Dart", 0, 0, 57, 1, 5, 63
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/cached_request.dart", "Dart", 0, 0, -34, -1, -5, -40
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/cached_request_entity.dart", "Dart", 0, 0, 34, 1, 5, 40
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/diet.dart", "Dart", 0, 0, -28, -1, -5, -34
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/diet_entity.dart", "Dart", 0, 0, 28, 1, 5, 34
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/exercise.dart", "Dart", 0, 0, -33, -1, -5, -39
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/exercise_entity.dart", "Dart", 0, 0, 33, 1, 5, 39
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/meal.dart", "Dart", 0, 0, -32, -1, -6, -39
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/meal_entity.dart", "Dart", 0, 0, 32, 1, 6, 39
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/muscle.dart", "Dart", 0, 0, -33, -1, -5, -39
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/muscle_entity.dart", "Dart", 0, 0, 33, 1, 5, 39
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/muscle_group.dart", "Dart", 0, 0, -29, -1, -5, -35
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/muscle_group_entity.dart", "Dart", 0, 0, 29, 1, 5, 35
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/program.dart", "Dart", 0, 0, -38, -1, -5, -44
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/program_entity.dart", "Dart", 0, 0, 38, 1, 5, 44
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/recipe.dart", "Dart", 0, 0, -28, -1, -5, -34
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/recipe_entity.dart", "Dart", 0, 0, 28, 1, 5, 34
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/training.dart", "Dart", 0, 0, -28, -1, -5, -34
"/home/kilian/gymprime-project/gymprime/lib/features/shared/domain/entities/training_entity.dart", "Dart", 0, 0, 28, 1, 5, 34
"/home/kilian/gymprime-project/gymprime/lib/injection_container.dart", "Dart", 0, 0, 4, 0, 1, 5
"/home/kilian/gymprime-project/gymprime/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 2, 0, 0, 0, 2
"/home/kilian/gymprime-project/gymprime/pubspec.yaml", "YAML", 2, 0, 0, 0, 0, 2
"Total", "-", 2, 2, 306, -6, 38, 342
